,id,tweets
162,1052990000000000000.00,Mulle meeldis @YouTube video Behind the Scenes - Eminem Jimmy Kimmel Live “Venom” Performance – Presented by Google Pixel 3
163,1052990000000000000.00,"RT @Okama_Sorteos: #SORTEO Google Pixel 3
1️⃣ RT
2️⃣ SUB AL CANAL DE YOUTUBE Y ACTIVA LA CAMPANA 👉 https://t.co/BFfNZEzBzY
3️⃣ MENCIONA A T…"
164,1052990000000000000.00,@KamikaZaky @housas196 @AndroidAuth @madebygoogle @Google @jaduino I think you should buy a pixel 3 and then compar… https://t.co/hGdCiHClw1
165,1052990000000000000.00,how much is a google pixel 2 or 3 and how do you make aus on android devices
166,1052990000000000000.00,This phone is unbelievable.  The camera is better then any camera I have ever seen in a major phone builder.  Words… https://t.co/6ILf2OOgEg
167,1052990000000000000.00,I liked a @YouTube video https://t.co/TFwDwBeH8F Unboxing the Google Pixel 3 with Stars
168,1052990000000000000.00,@GordonRamsay endorced the google pixel 3 which means now I have to get it right?
169,1052990000000000000.00,RT @arstechnica: Turns out the #Pixel3XL *does* have a Samsung display inside https://t.co/I8WDLEgduB
170,1052990000000000000.00,RT @arstechnica: Turns out the #Pixel3XL *does* have a Samsung display inside https://t.co/I8WDLEgduB
171,1052990000000000000.00,I liked a @YouTube video https://t.co/GwmfeK6CQU Unboxing the Google Pixel 3 with Stars
172,1052990000000000000.00,Behind the Scenes - @Eminem Jimmy Kimmel Live “Venom” Performance – Presented by Google Pixel 3 https://t.co/G0DDmcJ2zC
173,1052990000000000000.00,A Google Pixel 3 Review In The Age Of Incremental Updates And Unrelenting Trauma https://t.co/fviZqKD7ar via @mat
174,1052990000000000000.00,"Hi guys :) 

-Sent from my Pixel 3"
175,1052990000000000000.00,"Haley Reed &amp;amp_ Meko Lilly 04 mov-12
 https://t.co/lRiHBTlJbY 
 tamil nadu village lesbian sex ghana wet pussy por… https://t.co/lo3pHOMU7j"
176,1052990000000000000.00,RT @LifeWithKathy: #ad The new @Google Pixel 3 phone from @BestBuy has an amazing camera  and unlimited free storage so you can take all th…
177,1052990000000000000.00,RT @arstechnica: Turns out the #Pixel3XL *does* have a Samsung display inside https://t.co/I8WDLEgduB
178,1052990000000000000.00,RT @arstechnica: Turns out the #Pixel3XL *does* have a Samsung display inside https://t.co/I8WDLEgduB
179,1052990000000000000.00,"Before anyone else attempts it, Magisk does not currently work on the Pixel 3 XL. Likely the same on the Pixel 3.… https://t.co/J8CP7Tu4EH"
180,1052990000000000000.00,RT @arstechnica: Turns out the #Pixel3XL *does* have a Samsung display inside https://t.co/I8WDLEgduB
181,1052990000000000000.00,Where to buy the Google Pixel 3 and Pixel 3 XL https://t.co/Iol4cuEaEE #Android #Apps #Tech #News https://t.co/CqvL8Ax3bV
182,1052990000000000000.00,"RT @OSIRISREx: 1, 2, 3, Bennu! Earlier this week, I captured these images of my favorite asteroid growing ever larger -- from about 1 pixel…"
183,1052990000000000000.00,RT @arstechnica: Turns out the #Pixel3XL *does* have a Samsung display inside https://t.co/I8WDLEgduB
184,1052990000000000000.00,"RT @Fitzyhere: New phone, who dis? Google pixel 3. https://t.co/CabUbvG9sj"
185,1052990000000000000.00,Where to buy the Google Pixel 3 and Pixel 3 XL https://t.co/xek6ZQlHot
186,1052990000000000000.00,Google Pixel 3 and Pixel 3 XL factory images and kernel sources are going live https://t.co/6HXe2rSat6 #Developments #MiniXDA #News #Google
187,1052990000000000000.00,Google Pixel 3 and Speck bundle international giveaway! https://t.co/7een4T1PkT
188,1052990000000000000.00,"RT @Fitzyhere: New phone, who dis? Google pixel 3. https://t.co/CabUbvG9sj"
189,1052990000000000000.00,RT @jaimemckee: The new Google Pixel 3 from @BestBuy has an amazing camera – and a groupie-cam! Avoid the “storage full” message because st…
190,1052990000000000000.00,Where to buy the Google Pixel 3 and Pixel 3 XL https://t.co/bh5FnwkEOr
191,1052990000000000000.00,#news Where to buy the Google Pixel 3 and Pixel 3 XL AT https://t.co/eOyq8Se1rf #android #androidcentral #mobile
192,1052990000000000000.00,"RT @MishaalRahman: Before anyone else attempts it, Magisk does not currently work on the Pixel 3 XL. Likely the same on the Pixel 3. @topjo…"
193,1052990000000000000.00,Google Pixel 3 and Speck bundle international giveaway @androidauth #giveaway https://t.co/rDU4wh4sg5
194,1052990000000000000.00,"@dstaley I am.

My Pixel 3 is in the middle of nowhere Texas, according to tracking."
195,1052990000000000000.00,Where to buy the Google Pixel 3 and Pixel 3 XL https://t.co/6GkBbAYXk6
